type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,1323.4,1650.5,160.7,251.6,289.1,505.6,676.7,2154.0,3519.9,3635.1,3750.3,3921.9,4068.5,18578.0,30123.9,29911.6,30000
read,1230.8,1584.7,160.7,247.7,283.5,482.0,592.2,1755.8,3014.0,3605.4,3743.9,3934.3,5450.9,14098.9,30066.4,34958.3,35000
read,1156.4,1644.1,160.7,252.6,287.1,504.0,626.7,735.6,869.1,3553.1,3728.5,4055.0,5534.3,15988.9,30564.7,40027.8,40000
read,1069.5,1588.2,160.7,246.9,277.9,475.0,585.9,673.3,773.9,3492.0,3695.5,4040.4,5436.4,15948.7,31921.2,45014.0,45000
read,978.2,1384.6,148.8,259.3,294.0,488.4,622.3,719.7,801.2,941.8,3617.6,3918.7,4996.9,12070.5,29717.1,50128.6,50000
read,1398.1,2054.4,173.5,430.1,456.1,591.3,935.7,1022.8,1087.8,3666.8,4635.6,5050.3,7731.9,28575.8,37106.2,49132.0,55000
read,1377.7,1991.5,187.4,418.5,447.5,592.8,907.1,1002.2,1076.8,3554.0,4620.4,5063.8,7748.3,25632.0,36492.5,49854.8,60000
read,1313.1,1954.2,187.4,394.5,419.9,574.7,856.0,936.0,1003.5,3033.7,4560.0,5006.0,7675.0,26841.9,36847.4,52222.4,65000
read,1324.2,1932.4,173.5,398.9,424.3,575.4,872.1,948.7,1010.4,3136.2,4584.3,5010.4,7746.2,24780.9,34987.0,51604.8,70000
read,1400.7,1972.6,187.4,438.1,461.7,598.1,948.2,1030.9,1095.7,3774.8,4647.9,5048.2,7887.6,24982.7,35233.1,48934.4,75000
read,1327.5,1925.5,173.5,398.5,426.2,578.6,863.9,965.8,1041.1,3223.7,4562.9,5021.5,7810.3,25748.9,34510.1,51470.4,80000
read,1334.8,1958.4,218.6,407.2,432.6,579.4,885.7,961.2,1015.8,3175.6,4578.8,5031.9,7811.8,26906.1,37001.7,51294.4,85000
read,1320.5,1899.0,160.7,404.1,427.3,574.5,880.4,953.6,1009.0,3227.4,4583.0,4996.4,7617.0,23874.7,37279.1,51642.8,90000
read,1256.3,1891.5,187.4,373.9,395.9,556.3,813.9,880.0,932.1,1091.3,4500.4,4978.9,7687.4,24169.2,35219.0,54480.0,95000
read,1353.1,2000.3,187.4,413.9,440.9,581.5,896.2,981.0,1046.4,3207.3,4594.2,5047.8,7899.9,27935.8,37790.0,50706.0,100000
read,1369.0,2009.0,187.4,413.4,441.5,595.0,904.9,985.3,1052.5,3429.5,4607.5,5062.2,7906.3,28096.8,38362.3,50104.6,105000
read,1283.2,1950.2,173.5,385.1,409.8,548.4,838.4,910.0,963.8,1170.0,4531.8,5022.3,7814.9,25385.2,37313.2,53520.4,110000
read,1317.0,1645.3,160.7,251.9,288.7,504.8,668.2,2127.4,3519.0,3634.3,3749.7,3924.0,4164.1,16210.5,29998.2,29885.8,30000
read,1235.3,1623.4,160.7,251.2,288.4,511.4,645.1,811.8,2394.5,3599.8,3742.9,3975.3,5684.5,15451.2,29209.8,35044.2,35000
read,1151.7,1590.1,160.7,245.4,277.5,488.0,594.3,695.0,1132.5,3560.0,3726.9,4015.7,5616.5,15148.5,27895.0,39845.8,40000
read,1059.1,1473.8,160.7,258.4,294.0,500.1,640.7,738.6,829.0,3111.6,3677.3,3997.6,5248.3,12594.7,30206.6,45087.5,45000
read,983.7,1399.9,148.8,251.0,282.5,469.2,585.6,666.1,741.5,922.5,3648.6,3983.7,5149.7,7848.8,30137.1,49816.6,50000
read,952.3,1421.8,160.7,260.6,293.8,471.3,591.4,679.4,753.2,868.3,3607.5,3993.0,5120.6,9510.2,31697.9,54751.8,55000
read,1406.5,1982.7,173.5,426.4,454.4,621.4,935.0,1031.6,1115.3,3820.7,4648.5,5035.6,7564.2,28399.8,36846.8,48610.2,60000
read,1424.1,1993.3,187.4,438.3,464.1,621.2,955.7,1042.5,1112.0,3821.7,4670.6,5067.1,7865.5,27573.3,34665.6,48142.0,65000
read,1346.3,1952.8,202.4,408.1,434.9,586.0,893.1,972.2,1032.5,3224.5,4597.3,5056.5,7823.2,25369.9,35513.6,50830.7,70000
read,1359.0,1949.4,173.5,425.2,451.2,585.6,911.5,1003.6,1071.9,3404.5,4595.7,5040.4,7862.0,25323.8,36238.5,50166.8,75000
read,1429.6,2066.9,187.4,443.8,472.7,614.1,954.1,1053.8,1131.9,3791.9,4668.0,5099.9,7889.6,28548.8,39006.4,48242.2,80000
read,1258.0,1926.6,173.5,379.7,405.1,538.4,820.5,893.7,940.8,1084.0,4506.4,4963.9,7751.3,26828.8,36496.0,54550.6,85000
read,1379.9,1932.6,202.4,421.2,447.8,606.6,920.8,998.9,1069.9,3628.5,4629.7,5049.4,7832.5,23604.2,36889.9,49555.2,90000
read,1400.1,2013.8,202.4,434.9,458.2,593.7,938.2,1027.5,1094.3,3728.5,4647.9,5065.3,7793.3,27010.0,37810.2,49139.4,95000
read,1337.0,1992.2,218.6,410.4,436.2,568.1,884.4,969.8,1032.7,3194.6,4590.2,5046.2,7866.0,28041.1,37338.2,51450.3,100000
read,1359.3,2020.6,173.5,423.8,447.8,573.2,904.4,993.2,1059.0,3297.7,4610.8,5064.9,7825.8,27011.7,37648.2,50610.8,105000
read,1309.5,1962.8,173.5,395.2,419.8,564.7,856.5,933.6,996.7,3080.0,4556.4,5010.4,7736.2,24941.3,39152.2,52397.4,110000
read,1329.0,1619.9,160.7,245.2,277.6,465.3,604.1,2514.6,3526.5,3635.0,3743.5,3908.9,4055.9,15127.7,30039.8,29887.9,30000
read,1221.6,1536.3,148.8,247.6,284.0,492.0,601.1,1630.9,2995.0,3601.8,3736.8,3928.7,5502.3,11454.4,30321.9,34909.2,35000
read,1141.6,1558.2,160.7,249.0,282.5,497.3,612.0,717.7,865.8,3553.7,3725.0,4033.0,5512.6,12067.0,28564.2,40075.2,40000
read,1067.7,1506.2,160.7,253.1,286.9,488.1,612.1,709.5,804.7,3267.8,3707.5,4046.6,5386.3,12247.8,29529.3,44906.2,45000
read,1017.9,1462.1,160.7,262.2,298.4,499.3,634.2,740.2,831.6,1022.0,3654.6,4005.8,5072.7,13920.0,29903.9,49867.4,50000
read,1370.4,1938.3,202.4,417.2,446.2,598.7,908.7,1001.7,1077.3,3641.9,4615.9,5026.4,7719.5,24826.2,36024.7,49686.0,55000
read,1414.4,2031.9,187.4,438.7,462.7,608.2,945.2,1036.2,1110.2,3719.4,4653.4,5081.3,7921.6,26648.5,36767.0,48629.0,60000
