type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,479.7,1194.3,160.7,206.6,225.4,429.2,509.2,559.5,594.9,641.0,696.1,772.9,1095.2,6252.0,31075.2,30043.8,30000
read,467.8,742.1,148.8,203.7,221.5,423.8,500.0,547.7,583.7,627.4,682.0,756.5,1069.8,6197.8,31682.5,34891.4,35000
read,441.1,684.3,148.8,202.7,217.6,390.4,471.0,518.0,555.7,606.4,675.0,767.6,996.0,5828.9,27812.2,40139.6,40000
read,449.9,1122.8,160.7,199.9,215.1,396.4,473.1,516.8,552.7,602.9,672.1,769.1,1045.5,5469.3,31382.9,44634.9,45000
read,445.7,969.1,148.8,200.2,215.6,396.8,478.0,521.2,554.4,598.7,662.2,756.9,1011.7,7292.0,30122.5,49875.4,50000
read,445.4,1038.1,160.7,198.6,214.2,392.2,479.8,526.9,561.4,605.0,666.8,758.9,999.8,7240.3,30813.7,54979.8,55000
read,444.5,872.9,148.8,200.5,216.9,395.0,489.4,539.8,575.5,617.9,675.0,766.3,998.9,5363.1,12915.0,60017.2,60000
read,453.4,883.0,148.8,200.1,217.2,392.0,483.9,534.5,571.9,617.2,679.4,781.6,1162.8,6831.9,23423.5,64907.2,65000
read,450.6,1362.6,148.8,201.2,219.4,392.4,483.2,534.1,570.3,612.6,669.6,760.8,979.6,6250.5,31308.0,70096.4,70000
read,405.0,1125.0,148.8,198.3,212.9,352.8,429.5,478.8,514.9,558.7,616.6,713.0,927.9,4273.9,12857.9,74968.6,75000
read,434.9,423.8,160.7,205.6,223.9,393.1,478.3,525.0,558.3,599.1,654.0,742.3,959.1,4953.6,21356.8,79899.6,80000
read,425.0,423.8,148.8,204.0,220.7,375.4,452.4,498.7,535.0,579.6,638.2,739.2,1002.5,5418.3,12699.0,84878.6,85000
read,438.2,398.9,160.7,211.5,232.2,391.7,471.1,517.4,552.2,597.1,658.3,756.1,989.8,5491.6,12784.2,90126.7,90000
read,532.9,484.2,148.8,246.2,284.9,484.8,559.0,614.4,665.7,739.1,850.6,982.8,1142.2,4493.0,12153.8,94335.8,95000
read,425.9,336.6,160.7,216.1,236.6,382.7,458.8,507.9,543.9,585.6,637.0,716.4,871.0,4442.3,12321.8,99867.6,100000
read,663.5,448.4,160.7,395.8,421.0,539.9,789.5,863.6,899.1,932.8,975.4,1027.1,1164.0,7191.1,15843.0,97342.4,105000
read,591.9,390.6,160.7,333.9,363.1,524.2,674.5,733.3,771.0,810.6,860.0,932.2,1072.9,4799.0,15154.9,106568.4,110000
read,431.9,495.1,160.7,200.5,214.9,381.3,462.1,511.5,552.4,602.1,661.8,735.4,924.3,5084.3,22075.6,30073.0,30000
read,441.1,526.7,160.7,203.2,218.7,391.9,468.2,514.9,552.1,599.3,660.8,740.9,937.8,7546.9,28704.2,35179.2,35000
read,445.4,586.9,160.7,198.8,213.3,392.2,468.5,513.3,551.1,602.4,669.4,757.4,982.5,7567.3,30497.3,39875.0,40000
read,434.8,514.9,148.8,200.1,214.3,377.0,458.5,507.5,547.2,600.5,677.9,772.6,984.0,7444.1,24732.5,44816.0,45000
read,463.9,520.5,148.8,200.3,217.0,425.3,511.0,554.1,586.0,626.6,682.6,769.4,1015.8,7658.4,25775.9,50089.6,50000
read,434.8,373.5,148.8,199.7,215.4,398.4,486.6,532.2,565.9,607.6,664.4,746.2,932.4,4941.2,12404.1,54975.4,55000
read,430.8,405.5,148.8,200.7,216.5,387.4,478.1,525.6,560.1,601.5,661.3,758.0,958.3,4861.5,13945.4,60014.2,60000
read,434.7,430.2,148.8,198.9,215.5,386.3,478.8,529.3,564.6,606.0,663.5,757.4,991.7,5405.2,12869.6,64966.4,65000
read,429.9,389.6,148.8,200.2,217.0,382.1,469.5,518.9,554.0,595.4,654.9,748.7,974.0,6036.9,12445.6,69794.8,70000
read,431.7,365.0,148.8,200.9,218.6,389.0,476.3,524.8,558.9,598.6,653.8,744.9,987.9,4641.6,11462.7,74965.2,75000
read,440.3,402.3,160.7,203.9,222.2,394.6,478.3,525.6,560.8,605.2,667.1,772.5,1045.3,5562.5,10589.8,79892.9,80000
read,420.9,447.2,148.8,200.7,217.2,371.4,449.2,495.1,529.8,572.8,631.1,730.3,955.7,5840.4,12893.3,84565.2,85000
read,420.2,385.9,148.8,205.4,223.6,376.9,453.3,497.9,531.8,573.5,629.6,719.8,957.8,5230.8,12548.2,89832.0,90000
read,512.6,410.1,148.8,226.0,257.4,467.1,544.1,587.6,627.9,692.1,815.9,1002.9,1169.3,5210.6,13031.9,93753.0,95000
