type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,438.2,448.0,160.7,204.0,221.1,389.9,467.2,517.1,557.0,601.8,652.8,722.3,916.0,5128.6,16745.2,29810.6,30000
read,438.8,493.4,160.7,200.3,216.0,395.3,467.4,511.3,550.2,596.4,652.6,727.5,916.5,7076.6,17285.5,34879.8,35000
read,433.8,508.6,148.8,200.8,216.3,386.6,459.6,504.1,540.6,586.0,644.0,724.6,925.4,5246.9,28987.2,40044.8,40000
read,463.5,629.7,148.8,200.5,216.1,404.4,478.5,520.6,554.6,598.6,659.4,742.5,2002.0,7130.7,30870.8,45060.8,45000
read,451.8,644.1,160.7,199.8,216.0,404.6,482.0,524.8,558.2,602.2,662.2,746.2,1449.2,6931.7,18455.6,49940.4,50000
read,431.8,468.9,148.8,197.0,212.5,393.1,474.8,517.2,548.4,589.2,644.1,731.2,950.3,5213.1,20782.4,54951.0,55000
read,404.1,447.1,160.7,196.0,209.7,356.6,428.4,472.6,507.4,550.7,614.8,713.5,890.6,5428.8,14699.8,59927.0,60000
read,425.4,478.1,160.7,198.0,213.6,374.5,461.7,508.4,543.1,585.1,640.0,730.4,953.1,7184.6,17727.5,65114.0,65000
read,411.7,377.7,148.8,197.9,213.0,365.0,446.4,493.7,529.2,572.7,630.0,723.0,941.2,4726.5,15189.9,69855.6,70000
read,422.5,445.4,148.8,199.8,216.0,370.8,451.6,497.7,532.9,576.2,632.4,724.3,996.6,5606.4,13786.9,74941.8,75000
read,415.4,375.9,148.8,201.5,217.8,372.5,450.7,496.2,530.1,571.2,625.3,711.8,925.9,4819.5,12660.0,80021.4,80000
read,401.8,411.6,148.8,200.0,215.2,358.1,430.6,474.7,506.9,547.0,600.0,684.1,901.8,5384.8,12853.6,85041.2,85000
read,431.9,337.9,148.8,211.0,231.0,391.7,470.9,516.8,550.8,593.7,650.2,742.6,962.9,4633.2,9599.4,90048.4,90000
read,603.4,468.7,160.7,272.5,327.1,530.9,623.4,718.0,794.6,877.6,965.3,1061.6,1223.5,5927.9,16281.9,93910.2,95000
read,442.0,338.4,160.7,220.2,244.8,396.4,472.7,523.7,561.4,605.5,663.3,752.6,934.4,4638.6,9208.4,99841.4,100000
read,706.4,500.2,160.7,430.1,456.5,577.1,796.5,920.3,968.4,1011.4,1060.4,1122.0,1265.3,6263.1,21144.4,92461.7,105000
read,640.0,440.3,173.5,374.9,398.9,533.9,756.4,816.1,849.9,886.3,929.0,994.2,1131.9,5829.8,15727.0,100817.6,110000
read,439.0,529.7,160.7,205.7,222.6,387.4,464.8,515.3,554.8,598.6,651.2,723.2,917.8,7315.1,28795.1,29917.0,30000
read,439.5,640.1,160.7,200.9,215.4,379.8,454.3,502.1,541.1,588.8,647.1,725.5,954.9,8086.1,31314.2,35067.4,35000
read,424.5,533.8,148.8,198.7,213.2,372.6,447.4,495.3,532.6,580.0,639.9,722.2,915.8,6402.6,28208.7,39964.2,40000
read,427.7,549.3,148.8,198.6,213.1,375.3,449.2,495.0,530.8,577.7,641.5,730.7,932.1,7174.6,30197.2,44976.4,45000
read,435.9,554.5,160.7,199.3,213.6,381.8,457.1,501.3,537.4,583.8,648.2,739.1,1048.4,7445.8,26902.4,49901.3,50000
read,407.3,460.9,160.7,196.8,210.2,356.6,428.2,473.8,507.8,552.8,619.7,719.3,899.6,6219.8,12867.7,55105.7,55000
read,414.6,422.4,148.8,196.7,211.1,368.8,450.6,495.6,529.4,571.8,629.2,720.4,937.2,4843.7,12781.4,59966.4,60000
read,427.7,426.1,148.8,198.2,213.9,374.5,460.8,509.3,546.6,589.9,650.1,752.5,993.4,6113.6,12651.3,64847.2,65000
read,440.1,440.9,160.7,201.5,219.0,388.8,475.6,523.5,557.1,597.5,655.5,745.0,1048.8,5416.3,15656.0,70038.6,70000
read,424.2,377.8,148.8,201.2,218.3,380.3,464.1,511.8,546.5,588.9,641.8,728.5,938.0,4928.4,10188.5,74718.2,75000
read,421.9,461.3,160.7,201.8,218.1,373.4,451.2,497.1,531.8,574.7,632.8,729.2,940.1,7310.1,16426.0,80084.8,80000
read,423.2,448.8,160.7,203.3,220.7,376.4,454.4,500.5,534.4,576.1,630.8,722.4,959.0,6703.1,15014.7,84991.2,85000
read,415.0,357.0,148.8,205.8,223.9,376.0,453.0,497.5,531.4,572.4,624.7,705.7,907.5,4586.7,12415.2,89974.8,90000
read,478.1,431.7,160.7,227.4,256.8,425.4,507.2,564.7,608.5,663.3,734.0,829.3,1004.2,5597.2,15758.4,95095.8,95000
read,423.4,371.1,160.7,213.4,233.4,379.6,452.6,499.2,535.5,578.5,632.9,719.0,909.9,4618.8,11966.4,99816.2,100000
read,588.3,431.8,148.8,322.2,352.6,524.3,682.3,733.5,766.4,800.9,844.2,904.8,1046.2,5766.7,14406.0,103448.6,105000
