type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,425.5,263.7,160.7,209.6,230.1,394.8,468.5,515.0,552.0,593.8,647.1,716.4,849.1,2655.6,11543.8,29875.0,30000
read,427.6,286.2,160.7,208.2,228.1,402.6,475.2,515.8,547.7,588.8,640.0,717.0,859.9,2594.5,12446.7,34865.0,35000
read,414.2,210.5,160.7,207.2,225.8,392.9,460.1,499.9,532.5,573.0,624.1,695.5,830.8,1587.5,7724.2,40130.0,40000
read,419.0,244.9,148.8,205.6,223.4,396.7,470.3,511.3,544.2,584.3,637.0,712.7,846.2,1562.0,10337.2,44973.8,45000
read,422.8,242.7,148.8,203.6,220.8,407.9,484.8,523.8,551.6,588.0,636.4,704.2,835.8,1604.7,9496.8,49947.9,50000
read,421.1,236.4,148.8,201.5,218.2,401.5,484.2,526.5,556.6,592.7,642.6,719.6,862.8,1262.9,9684.2,54987.6,55000
read,400.6,231.7,148.8,198.4,213.7,376.7,454.7,497.1,528.4,566.9,618.3,694.2,839.6,1300.5,7875.2,60009.2,60000
read,393.0,254.7,148.8,195.2,210.4,363.6,440.0,482.8,513.8,552.2,604.8,686.6,840.2,2022.7,11730.3,65099.5,65000
read,405.7,240.9,148.8,197.0,214.4,377.6,459.5,504.4,536.8,574.7,623.6,694.6,826.7,2298.4,8937.2,69910.4,70000
read,396.0,198.4,148.8,197.4,214.4,369.5,447.4,491.4,522.8,559.0,607.5,680.8,813.3,1214.9,7642.2,74972.0,75000
read,394.1,228.3,148.8,199.2,216.3,368.1,442.9,486.2,515.9,550.2,595.2,667.3,800.2,1437.0,8997.2,80235.0,80000
read,390.8,222.6,148.8,199.8,216.5,364.7,438.2,480.0,509.4,545.1,590.0,659.9,798.0,1275.9,9995.4,84782.8,85000
read,373.6,225.4,148.8,198.4,213.7,347.7,411.6,450.9,479.7,514.0,559.7,629.9,778.0,1245.6,8363.3,89867.8,90000
read,374.7,209.9,148.8,201.2,217.0,351.8,414.8,452.0,479.4,513.0,556.7,622.9,749.8,1089.6,8703.6,94798.8,95000
read,467.4,270.2,148.8,220.2,247.1,426.7,507.3,549.3,585.4,637.8,736.2,915.7,1084.5,1328.7,9894.0,99454.4,100000
read,482.9,261.8,148.8,235.6,266.5,450.9,521.9,553.6,581.8,624.8,726.6,974.4,1097.2,1281.0,9481.7,102468.5,105000
read,594.4,274.8,160.7,346.0,371.9,526.5,705.9,757.7,790.7,827.7,869.7,935.9,1054.3,1470.2,10845.7,105883.4,110000
read,407.6,244.4,160.7,206.7,225.1,375.2,450.2,494.9,530.1,573.1,626.0,696.7,825.6,1641.1,8494.7,29988.4,30000
read,415.4,225.2,160.7,206.7,225.7,387.9,459.7,501.1,534.9,578.6,636.6,721.0,852.9,1592.2,8370.9,35018.2,35000
read,424.8,258.9,160.7,206.6,225.4,404.6,474.8,514.4,545.6,584.6,635.7,707.1,840.2,2910.4,9867.3,40062.6,40000
read,428.9,281.5,160.7,204.5,223.2,413.0,486.3,525.9,554.9,591.1,637.7,703.4,829.0,2596.2,11994.3,45044.4,45000
read,403.7,273.6,160.7,203.0,218.3,370.6,440.8,484.8,518.7,564.2,625.9,715.9,846.6,2969.1,9271.1,50326.2,50000
read,410.3,255.4,148.8,198.8,215.2,388.2,465.2,505.3,536.6,575.3,628.0,707.3,849.4,1480.7,10139.7,54895.4,55000
read,391.5,239.4,148.8,196.9,211.7,365.5,439.4,480.7,509.8,547.8,600.8,681.4,814.9,1756.6,8585.6,59771.8,60000
read,399.5,233.9,148.8,195.3,211.2,372.2,453.4,497.4,528.9,567.2,618.7,696.0,841.8,1348.8,8354.2,64752.1,65000
read,394.8,226.0,148.8,196.3,212.2,363.7,441.5,487.6,520.1,559.5,611.7,692.7,845.3,1666.5,8506.4,70206.4,70000
read,408.6,274.8,160.7,198.0,216.4,379.0,460.0,505.0,537.0,575.4,625.6,699.7,846.0,1823.5,11227.9,74856.4,75000
read,395.2,196.3,148.8,197.5,214.5,370.5,449.3,492.2,522.3,557.5,602.8,672.6,796.3,1152.9,7444.7,79968.8,80000
read,387.9,191.4,148.8,198.0,215.0,365.0,441.2,482.1,510.3,544.5,587.0,649.7,770.3,1010.3,6423.8,84936.0,85000
read,374.5,204.8,148.8,197.0,212.5,350.3,417.2,456.9,485.5,519.2,563.8,629.5,755.6,1167.9,8088.6,89844.2,90000
read,379.7,205.1,148.8,203.4,220.1,354.9,421.5,461.3,490.7,525.0,567.6,630.0,747.9,1136.6,7979.3,95016.7,95000
read,395.3,228.7,148.8,207.0,225.1,365.1,433.9,472.2,501.6,537.2,585.4,675.6,925.2,1167.3,8576.3,99886.9,100000
read,530.4,266.0,148.8,241.0,284.1,484.9,552.0,622.0,695.1,790.8,884.6,973.0,1085.1,1279.6,8857.5,104089.0,105000
read,624.5,306.4,148.8,375.4,399.2,522.6,759.2,818.7,849.4,881.6,919.1,971.1,1071.9,2682.5,12276.7,102738.8,110000
read,426.2,269.1,160.7,209.8,230.2,398.1,469.7,513.1,547.6,589.6,640.0,709.9,831.6,2721.0,11939.3,30178.6,30000
read,411.1,272.4,160.7,206.4,223.7,375.3,448.3,495.2,533.0,579.4,636.9,713.8,841.5,2809.0,10822.0,35063.0,35000
read,422.8,244.9,160.7,207.3,225.9,401.9,472.4,511.7,544.4,585.8,637.7,713.5,845.5,1350.4,10456.4,40047.8,40000
read,421.9,239.4,160.7,206.2,223.8,402.5,475.6,516.2,547.2,586.7,637.6,712.5,849.2,1318.1,10153.6,45046.4,45000
read,424.2,271.8,160.7,203.5,220.7,406.5,484.6,524.4,552.5,589.8,640.1,714.1,850.4,1848.8,11966.7,49825.6,50000
read,398.5,229.7,148.8,200.5,215.7,369.2,440.5,484.8,518.5,561.9,621.9,711.2,854.7,1167.4,8995.4,55082.8,55000
read,397.4,229.3,148.8,197.8,212.8,369.8,446.4,489.9,521.7,561.5,616.9,701.5,850.5,1287.7,8561.6,59836.0,60000
read,388.4,224.8,148.8,195.9,210.7,362.4,437.7,480.5,509.6,547.3,597.1,675.8,807.7,1183.7,8963.8,65066.2,65000
read,395.0,227.4,148.8,197.1,213.0,365.1,444.8,490.6,522.3,559.6,609.0,683.2,819.3,2086.7,8205.1,69974.8,70000
read,379.0,212.4,148.8,195.9,210.6,349.5,423.3,466.7,498.5,535.7,582.2,657.5,799.1,1078.3,7912.9,75008.4,75000
read,388.6,213.4,160.7,200.3,216.2,361.1,433.1,475.5,506.3,544.0,592.4,668.9,806.1,1316.8,7841.9,79834.0,80000
read,387.5,227.6,148.8,200.5,216.7,361.3,432.8,474.6,504.7,540.4,584.7,651.0,788.4,1419.7,7896.4,84937.6,85000
read,373.4,222.8,160.7,198.7,213.8,348.8,414.4,453.8,482.4,515.5,559.1,625.7,748.6,1302.1,9106.7,89700.0,90000
read,376.6,229.5,160.7,201.6,218.1,352.1,417.5,455.5,483.6,517.6,560.5,623.1,742.2,1085.9,9822.9,94989.4,95000
read,378.7,179.4,148.8,207.6,225.9,355.9,419.1,457.5,485.2,517.6,558.3,616.8,731.3,926.6,6392.4,100011.1,100000
read,658.8,843.5,160.7,398.8,424.6,543.6,793.0,863.2,898.9,933.1,975.1,1022.7,1138.9,2352.9,12597.0,97995.8,105000
read,598.3,1455.1,160.7,329.9,359.5,550.7,685.3,734.6,768.1,804.6,853.5,926.0,1064.9,1486.3,13710.2,104924.4,110000
