type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,959.8,1494.3,160.7,254.9,287.8,516.7,629.6,699.2,765.1,2000.9,3127.6,3448.3,3993.6,22937.3,31507.9,29811.8,30000
read,894.1,1293.6,160.7,261.2,294.7,513.8,629.8,700.6,765.1,918.4,2858.1,3232.2,3965.3,18121.9,31708.3,34869.6,35000
read,844.2,1395.2,160.7,252.9,284.3,491.1,604.7,676.6,736.7,844.8,2588.9,3087.9,4402.9,22958.8,34082.7,40010.4,40000
read,820.9,1471.5,160.7,257.1,287.8,487.8,594.4,665.7,727.6,826.0,2223.4,2927.7,4672.5,26838.3,37637.1,44942.2,45000
read,1045.1,2195.2,160.7,279.7,319.5,534.9,661.2,751.5,835.6,961.3,2468.1,4497.7,6207.0,31977.7,38878.3,49929.8,50000
read,1537.3,3143.7,173.5,389.9,426.6,661.5,863.3,949.3,1018.1,3716.6,4641.8,5121.5,8482.5,36035.2,47325.8,49831.0,55000
read,1539.3,3087.9,187.4,387.4,425.5,670.9,858.1,949.9,1026.4,3837.8,4643.0,5121.6,8308.4,35679.2,49379.3,49679.4,60000
read,1527.6,3054.9,187.4,387.8,424.9,656.1,851.4,942.5,1015.8,3778.5,4637.1,5141.6,8488.5,35673.7,43683.2,50283.8,65000
read,1565.4,3149.4,187.4,405.5,440.0,646.6,888.1,979.1,1055.0,3842.9,4670.3,5177.4,8620.6,36998.2,46998.6,49357.2,70000
read,1491.8,3086.5,187.4,374.4,409.4,634.4,820.5,911.6,982.6,3628.2,4598.6,5114.7,8396.5,36190.8,55284.1,51548.6,75000
read,1593.7,3211.6,173.5,408.8,445.2,654.5,896.3,997.4,1079.3,3973.6,4684.8,5167.1,8663.6,36344.8,55417.2,48783.8,80000
read,1544.2,3143.7,187.4,393.1,428.6,651.2,865.3,958.2,1030.4,3813.1,4637.6,5118.2,8426.4,35565.4,42937.5,50003.6,85000
read,1506.6,3073.2,173.5,375.2,412.1,633.9,827.0,932.1,1011.4,3623.7,4613.3,5128.6,8422.2,36238.1,47364.3,51035.8,90000
read,1506.0,3079.4,187.4,375.1,408.1,659.4,828.8,919.9,997.4,3715.0,4614.8,5089.5,8399.3,36500.8,49014.2,51255.3,95000
read,1546.8,3170.4,187.4,387.9,425.3,656.8,861.2,952.7,1024.6,3736.6,4653.2,5152.9,8508.7,36537.9,51014.2,50188.6,100000
read,1545.0,3124.0,202.4,389.9,425.4,668.9,861.7,951.8,1029.4,3836.3,4644.0,5114.0,8417.2,36525.2,48388.9,49918.3,105000
read,1549.0,3133.6,187.4,389.7,426.6,663.2,861.7,954.4,1026.2,3797.3,4651.6,5215.7,8545.1,36212.3,49635.6,49643.6,110000
read,940.6,1428.3,160.7,256.3,287.6,502.5,623.4,691.2,755.4,1163.6,3133.5,3476.4,3982.2,21612.2,32279.0,29940.2,30000
read,845.2,1270.3,160.7,254.7,287.3,499.4,611.3,679.1,736.0,842.6,2785.8,3147.8,3796.9,18538.5,32083.9,34986.4,35000
read,822.7,1307.9,160.7,257.0,287.8,496.0,601.8,671.7,731.4,835.6,2487.9,3023.7,4090.5,18359.3,36869.5,39943.5,40000
read,785.7,1291.7,160.7,262.1,295.1,497.6,603.1,672.6,730.7,814.8,1977.7,2733.5,4536.0,20512.2,36887.4,44986.0,45000
read,753.2,1261.0,160.7,258.4,289.8,482.7,585.0,651.4,709.8,800.2,1120.0,2622.5,4604.5,19444.9,36773.5,49999.6,50000
read,1561.8,3204.0,187.4,393.4,429.9,659.3,872.8,965.3,1037.2,3873.5,4651.7,5107.0,8559.4,36252.8,50774.4,49638.0,55000
read,1606.9,3205.2,187.4,419.3,452.3,672.8,920.1,1005.6,1080.5,4041.2,4690.1,5138.0,8597.1,36085.9,50834.0,48207.6,60000
read,1572.0,3165.6,187.4,410.1,442.6,646.7,897.8,983.4,1053.9,3833.7,4675.9,5228.9,8651.2,36503.5,43986.4,49285.2,65000
read,1617.9,3226.0,187.4,422.2,455.5,669.2,926.8,1016.5,1093.2,4138.4,4697.1,5100.5,8592.5,36215.4,52878.7,48023.0,70000
read,1502.6,3097.1,187.4,376.0,413.3,642.0,824.6,917.4,988.5,3589.7,4613.1,5105.3,8554.3,35271.4,43880.0,51401.0,75000
read,1533.8,3132.2,187.4,396.3,427.3,651.9,861.4,942.4,1010.1,3842.6,4640.5,5091.9,8460.6,35880.4,43436.3,50428.8,80000
read,1354.6,2949.4,173.5,326.3,359.7,586.5,699.8,778.5,852.8,992.1,4473.8,4989.0,8078.7,34345.0,43524.3,56820.8,85000
read,1527.6,3086.1,187.4,399.0,431.4,643.8,869.3,956.1,1020.7,3823.2,4637.9,5092.3,8373.0,36494.9,48210.0,50237.2,90000
read,1546.0,3184.0,187.4,394.5,430.1,644.4,865.2,952.8,1015.0,3750.4,4650.7,5188.0,8550.1,35490.8,43511.6,50347.2,95000
read,1577.5,3174.3,202.4,408.9,442.2,662.3,891.5,981.4,1060.9,3920.4,4664.1,5135.5,8610.1,36857.5,49855.2,49083.8,100000
read,1541.1,3207.7,187.4,383.9,421.2,665.1,845.5,937.1,1008.9,3744.3,4640.0,5168.0,8550.8,36597.1,52937.7,50366.6,105000
read,1520.3,3093.5,202.4,389.8,422.7,659.6,843.9,924.3,990.8,3740.0,4638.9,5104.8,8519.7,36022.5,42977.1,50863.8,110000
read,934.2,1473.9,160.7,256.9,288.0,502.1,625.8,692.6,750.3,936.8,3093.9,3437.6,3960.8,21145.5,35808.4,30173.4,30000
read,864.9,1345.8,160.7,252.4,283.0,483.3,599.5,668.5,725.4,842.7,2876.2,3229.9,3944.0,22511.6,32332.9,35148.1,35000
read,832.8,1385.5,173.5,256.2,286.0,489.0,598.1,668.5,728.8,833.3,2583.2,3033.6,4420.9,22297.2,37939.9,39961.5,40000
read,788.5,1257.0,160.7,263.5,296.6,501.0,606.8,676.3,735.4,827.1,1990.6,2732.8,4544.6,18817.9,34869.6,44986.2,45000
read,1173.5,2455.1,173.5,303.2,352.7,573.9,743.1,840.3,909.8,1016.0,2772.3,4745.5,7645.5,32241.2,41503.0,49509.0,50000
read,1449.9,2968.6,173.5,358.6,394.3,640.6,794.9,882.2,952.8,1153.6,4573.2,5115.2,8134.5,33838.6,40439.6,51865.8,55000
read,1549.3,3120.5,187.4,385.8,423.4,678.1,851.8,940.7,1018.6,3799.8,4654.7,5320.2,8411.7,36009.4,44035.3,49518.6,60000
read,1494.0,3031.8,187.4,375.1,410.5,663.4,823.0,908.3,981.8,3585.1,4593.6,5114.9,8363.6,35247.2,42415.2,51258.0,65000
read,1511.1,3120.7,187.4,382.8,416.7,659.3,825.3,905.9,973.9,3707.6,4613.2,5095.3,8492.0,35447.2,43614.9,51218.2,70000
read,1553.5,3191.7,173.5,389.7,425.1,676.0,851.8,936.8,1009.4,3799.0,4637.4,5212.5,8545.2,36037.3,48177.8,49964.8,75000
read,1551.2,3128.4,187.4,390.1,426.3,688.5,853.0,931.1,1005.0,3861.1,4643.0,5128.7,8474.2,35333.3,41004.2,49738.2,80000
read,1476.3,2984.4,187.4,363.8,403.6,652.1,800.2,886.5,960.8,3556.8,4585.0,5215.7,8118.9,36252.7,50440.7,51514.2,85000
read,1556.9,3113.5,187.4,394.6,428.7,680.5,862.2,944.5,1017.2,3875.1,4664.0,5162.8,8572.8,36311.2,48197.9,49505.2,90000
read,1535.4,3058.9,187.4,380.2,417.2,666.5,849.7,942.6,1022.9,3801.2,4649.1,5219.2,8477.1,35695.2,43708.4,49935.8,95000
read,1546.3,3098.3,187.4,394.2,429.4,688.8,863.1,943.6,1014.7,3829.1,4647.7,5122.3,8423.5,36106.0,46877.0,49727.2,100000
read,1555.4,3120.2,187.4,396.0,432.3,666.2,869.6,958.8,1030.7,3863.5,4658.1,5147.0,8535.1,35793.0,44814.5,49525.6,105000
read,1508.7,3058.9,187.4,375.2,412.7,669.4,816.9,903.2,982.3,3786.9,4607.4,5089.1,8249.3,35632.8,49825.9,50817.2,110000
