type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,454.0,318.8,160.7,220.8,241.4,420.1,518.6,572.1,607.1,643.7,686.3,745.0,890.8,3184.0,12912.7,30046.2,30000
read,446.2,352.0,160.7,218.8,239.6,411.7,499.9,555.4,593.6,635.5,681.7,740.4,866.8,4028.5,13234.6,34914.4,35000
read,446.4,272.4,160.7,218.9,239.4,414.2,502.6,555.3,593.7,636.8,685.8,747.1,896.8,2832.5,12118.9,39990.6,40000
read,438.9,296.3,160.7,214.7,232.9,396.2,484.1,541.1,584.5,635.4,692.5,767.6,923.4,3465.8,10127.3,44993.0,45000
read,417.9,297.6,160.7,209.2,225.8,373.5,457.5,514.2,556.4,605.6,663.2,735.6,869.6,3906.9,12653.6,50028.5,50000
read,426.4,254.1,160.7,212.7,230.3,390.6,476.8,529.6,568.2,613.7,669.2,740.6,891.5,1774.5,9149.6,54934.6,55000
read,413.3,246.3,160.7,209.5,225.7,374.4,456.0,506.1,545.6,592.5,652.4,729.8,879.0,2985.3,8117.4,59947.8,60000
read,410.6,254.3,160.7,210.6,226.5,370.6,448.2,497.0,535.4,582.0,641.0,730.0,894.6,3378.2,8428.4,65114.3,65000
read,412.5,250.1,160.7,212.8,229.4,377.7,458.2,503.5,538.0,580.4,633.8,715.6,871.9,2320.4,8567.3,70110.4,70000
read,399.3,250.9,160.7,212.1,227.8,362.1,435.6,480.5,514.8,557.7,615.3,703.1,866.0,1860.5,11128.6,74999.6,75000
read,389.8,226.7,148.8,211.8,227.8,357.6,426.2,467.5,500.2,540.6,593.3,673.7,808.8,1425.1,8793.9,79958.4,80000
read,411.0,263.2,160.7,220.2,238.0,378.2,449.7,492.8,524.7,563.8,616.0,695.1,866.6,2224.7,12479.3,84775.4,85000
read,426.8,239.9,160.7,228.7,251.0,398.3,470.8,512.1,543.1,581.3,630.8,705.1,864.9,1551.0,9950.6,89962.8,90000
