type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,447.4,302.9,160.7,216.4,236.6,412.9,512.7,565.3,600.8,638.3,681.3,739.9,868.5,3751.0,12589.0,30149.4,30000
read,442.0,280.5,160.7,214.2,232.9,408.3,502.3,557.6,595.7,636.1,680.7,739.4,865.9,2832.7,11875.5,35132.2,35000
read,443.2,293.9,160.7,214.1,232.6,403.0,498.2,555.6,596.5,642.0,694.1,764.8,918.7,3008.7,10732.8,39960.8,40000
read,435.3,307.7,160.7,212.5,230.2,393.9,483.0,539.3,581.3,628.2,681.6,747.6,898.7,3600.4,9283.0,44993.4,45000
read,424.3,331.7,160.7,211.5,228.5,381.7,465.1,519.3,560.9,609.5,668.0,742.3,871.6,3897.8,10745.1,50001.0,50000
read,417.3,344.9,160.7,209.4,225.5,375.0,454.3,505.1,546.8,598.9,661.7,739.6,874.6,3680.4,12889.7,54981.2,55000
read,417.6,251.2,160.7,210.3,226.9,383.1,466.6,514.9,550.8,595.0,651.0,728.5,872.3,1959.8,9134.8,60080.8,60000
read,401.3,236.8,160.7,207.2,222.7,365.0,441.0,488.8,526.4,572.9,631.9,714.3,855.6,1801.6,7968.4,65031.9,65000
read,402.9,240.2,148.8,207.3,222.7,364.0,442.5,490.1,525.8,570.2,629.0,717.5,906.9,1725.8,8315.4,70046.0,70000
read,399.5,240.9,160.7,210.2,226.6,365.9,443.5,487.6,519.6,558.2,611.8,689.4,839.0,1623.3,9148.2,74875.2,75000
read,418.5,277.8,160.7,218.5,236.0,383.6,463.0,506.2,539.5,580.1,632.1,714.2,882.1,2651.4,9762.1,80099.4,80000
read,399.6,273.9,160.7,213.8,230.7,367.2,437.2,479.2,510.4,549.2,601.9,682.3,842.2,1553.5,12292.6,84845.6,85000
read,419.5,233.7,160.7,223.6,244.7,391.7,462.6,503.8,535.3,573.3,622.7,697.2,854.6,1768.3,9474.3,90218.2,90000
read,430.4,248.9,160.7,227.2,249.0,394.4,466.4,509.5,544.0,585.6,637.7,727.8,1055.6,1402.4,8570.7,94763.9,95000
read,652.8,313.9,173.5,377.6,411.7,573.2,767.5,836.5,875.6,916.1,961.5,1017.0,1128.6,2496.5,13076.1,96758.7,100000
