,p95,QPS,,,
0,629.6,7366.1,,Total,93
1,742.5,67153.4,,Violation,7
2,641.8,85968.9,,Ration,0.075268817
3,675.6,64080.9,,,
4,745.2,31468,,,
5,887.9,88012.6,,,
6,640,7305.7,,,
7,1181.8,62313.4,,,
8,638.9,6545,,,
9,926.7,22496.5,,,
10,894.1,60687.9,,,
11,930.1,59106.7,,,
12,1138.8,60131.4,,,
13,818.1,22955,,,
14,706.7,8231.4,,,
15,930.4,27608.1,,,
16,813.9,37561.4,,,
17,848.6,24338.6,,,
18,768.1,33712.8,,,
19,1278.2,84907.3,,,
20,667.4,85804,,,
21,713.7,51879.2,,,
22,1153.7,34551.5,,,
23,1157.5,28700.5,,,
24,1450.5,38334.8,,,
25,996.6,20749.9,,,
26,865.6,13836.6,,,
27,1146.2,93286,,,
28,644.9,98258.2,,,
29,679,71231.9,,,
30,731.7,42167.6,,,
31,706.3,46557.3,,,
32,720.5,30833.5,,,
33,706.3,42875.7,,,
34,646.2,93502.4,,,
35,685.9,65760.5,,,
36,716.3,29501.5,,,
37,720.1,51263.3,,,
38,681.5,67602.3,,,
39,676.7,16193.5,,,
40,661,81497,,,
41,645.3,87460.7,,,
42,632.5,99233.7,,,
43,713.2,51265.6,,,
44,672.1,11867.3,,,
45,648.5,97429,,,
46,672.8,97388.1,,,
47,713.7,55596.3,,,
48,661.3,86114,,,
49,668.3,82020.8,,,
50,709.5,52738.6,,,
51,649.7,13949.9,,,
52,714.1,49939.9,,,
53,629.4,9320.8,,,
54,720.5,27222.6,,,
55,679.7,18777.6,,,
56,657,86339.3,,,
57,675.9,92944.1,,,
58,658.5,76114.4,,,
59,719.6,32420.3,,,
60,685.8,84322.2,,,
61,670.5,81835.1,,,
62,743.3,37364,,,
63,713.7,53757.7,,,
64,722.5,30246,,,
65,733.8,31714.2,,,
66,728.8,38901.7,,,
67,646.9,10602.1,,,
68,644.5,97909.5,,,
69,707.6,48369.9,,,
70,720.6,34861.3,,,
71,666.4,69602.9,,,
72,692.9,20734,,,
73,718.3,84608.9,,,
74,739.9,42291.6,,,
75,689.5,61714.3,,,
76,671.4,77878.6,,,
77,632.2,97633.5,,,
78,685.9,23801.7,,,
79,677.6,66555.1,,,
80,726.8,31002.8,,,
81,725.7,47361.5,,,
82,669.4,95200.8,,,
83,593.6,5251.9,,,
84,662,65701.2,,,
85,657.3,16948.8,,,
86,698.8,42867.8,,,
87,648.3,99808.4,,,
88,690.3,26307.3,,,
89,685.2,22691.8,,,
90,686.9,50693.1,,,
91,523.7,90179.2,,,
92,659.1,26188.4,,,
