#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      474.2  1615.8   187.4   268.3   296.7   426.4   474.2   500.7   520.1   542.8   574.4   626.4   894.9  7836.4 79437.2   7406.2     7434
read      406.4  1029.3   160.7   220.3   232.7   334.9   408.9   458.8   499.6   549.6   618.5   729.6  1158.8  4553.4 18370.0  67161.2    67201
read      368.6   311.9   160.7   218.1   228.7   309.6   369.4   409.7   442.7   486.5   547.4   662.0  1101.8  3743.0 10226.4  85981.6    85927
read      387.1   334.4   160.7   218.9   230.0   319.7   396.6   449.6   490.5   538.4   596.3   692.0  1044.0  3900.4 10504.6  63933.1    63953
read      439.5   483.1   160.7   219.9   233.1   367.7   480.7   539.6   576.2   616.0   664.9   743.3  1113.9  5665.4 23445.1  31520.9    31595
read      455.4   782.9   160.7   217.5   229.0   315.8   378.3   422.7   461.4   516.1   602.2   853.8  3885.9  8182.9 31245.4  87673.5    87879
read      464.2   700.3   173.5   257.1   283.5   416.9   467.9   498.0   519.3   543.1   576.0   629.6  1251.2  8353.1 36654.1   7281.4     7287
read      524.4   949.1   160.7   217.2   229.2   327.6   406.1   467.1   519.7   587.2   705.6  1209.1  4074.5  8774.2 32269.8  62342.2    62295
read      478.2   903.6   173.5   259.2   286.6   414.7   464.9   493.4   512.9   537.8   569.8   622.9  1375.7 12179.8 32289.1   6561.6     6561
read      509.4   847.3   160.7   226.2   243.5   419.9   527.2   581.1   620.9   670.9   740.1   884.0  1364.9 11794.2 32147.2  22572.3    22532
read      529.2   898.0   160.7   219.3   231.7   333.3   414.8   475.3   529.0   595.7   716.3  1235.8  4102.3  8133.0 31301.8  60623.1    60653
read      437.6   629.2   160.7   215.6   227.5   321.3   398.3   453.4   497.5   548.9   617.0   747.6  3522.4  6385.4 28265.0  59098.6    59076
read      503.2   881.8   160.7   216.8   229.0   329.8   411.7   471.5   522.6   583.4   676.8   997.7  4107.0  8909.5 31635.8  60181.0    60154
read      501.0   695.3   160.7   224.7   241.0   417.3   528.2   583.9   623.3   672.3   740.6   892.8  1402.9 10095.5 30982.0  22923.5    22964
read      526.7  1078.7   173.5   248.4   274.2   445.4   511.2   543.9   566.8   591.0   627.9   688.9  2407.4 13733.6 32284.1   8183.4     8172
read      487.0   674.6   160.7   223.7   238.8   392.2   504.5   561.1   596.6   639.9   702.8   847.2  2137.9  8086.0 31357.2  27673.2    27652
read      490.4   683.4   160.7   220.5   234.1   368.8   478.8   542.9   586.5   638.5   720.5   921.9  3463.3  7885.4 29655.0  37649.9    37594
read      491.1   686.8   160.7   223.0   238.7   408.3   518.5   574.8   615.7   667.2   738.6   885.6  1278.9  9514.4 31330.8  24365.4    24367
read      445.1   536.8   160.7   218.9   231.8   364.0   471.3   532.8   571.5   614.0   669.0   767.2  1271.7  6693.4 22223.0  33901.1    33771
read      517.0   911.1   160.7   219.6   231.9   331.2   412.4   477.5   537.9   633.3   842.8  1282.1  3783.2 10152.2 32014.3  84963.2    84944
read      401.7   692.9   160.7   213.1   224.9   307.2   364.2   402.0   434.6   479.9   543.8   662.6  2564.6  8364.5 31375.5  85515.5    85666
read      422.9   560.4   160.7   215.5   227.5   326.7   410.3   469.2   515.9   567.2   628.1   728.2  1974.3  6115.5 25300.2  51982.6    51918
read      520.2   901.9   160.7   219.5   232.5   366.9   481.6   551.8   599.6   660.6   761.4  1095.9  3563.8 11748.5 32176.5  34350.8    34406
read      522.6   879.9   160.7   219.6   233.7   384.8   508.3   577.8   627.3   688.8   795.8  1061.5  2663.2 12699.8 32465.1  28686.9    28664
read      575.6  1116.7   160.7   216.9   229.7   358.2   476.5   559.1   622.5   714.5   928.3  1448.5  3952.8 16070.0 32396.4  38296.2    38289
read      564.0  1263.9   160.7   220.9   236.2   414.3   541.5   601.9   646.0   702.0   797.3   986.0  3243.9 22869.7 37796.0  20648.8    20658
read      536.3   998.6   173.5   230.6   249.9   435.2   527.0   569.6   598.1   635.8   689.3   802.4  3172.0 13459.5 31835.0  13869.1    13840
