,type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,start,elapsed_time
0,read,433.5,379.5,173.5,265.5,294.8,410.5,452.3,474.1,493.6,514.7,543.2,590.4,758.1,5908.6,13621.8,7370.4,7434,2023-05-25 04:08:12.923125,0.0
1,read,352.0,201.0,160.7,221.6,234.1,313.4,368.7,406.9,437.5,474.4,520.2,579.2,709.1,1865.6,8319.8,67102.9,67201,2023-05-25 04:08:22.923125,0.16666666666666666
2,read,333.2,161.1,160.7,220.7,232.3,302.7,345.9,375.5,399.6,429.9,468.9,528.8,658.9,1849.9,6658.1,86031.3,85927,2023-05-25 04:08:32.923125,0.3333333333333333
3,read,370.9,290.0,160.7,222.2,235.0,318.5,382.6,428.0,463.2,505.0,553.2,625.4,842.4,3454.5,10513.4,64002.3,63953,2023-05-25 04:08:42.923125,0.5
4,read,442.1,453.1,173.5,225.4,240.2,378.8,483.3,538.0,574.1,615.7,667.8,746.3,1152.7,4579.4,19410.4,31588.7,31595,2023-05-25 04:08:52.923125,0.6666666666666666
5,read,391.7,422.7,160.7,220.4,232.2,324.4,389.1,431.9,468.2,517.3,586.0,717.3,1220.4,4250.7,15945.1,87953.4,87879,2023-05-25 04:09:02.923125,0.8333333333333334
6,read,452.4,468.0,187.4,262.8,292.6,420.0,465.2,491.3,509.0,532.9,562.2,616.6,879.0,7597.9,15653.9,7285.3,7287,2023-05-25 04:09:12.923125,1.0
7,read,400.8,410.7,160.7,219.4,230.9,330.0,406.8,459.8,503.3,554.3,618.8,722.8,1151.0,4702.3,15993.8,62181.8,62295,2023-05-25 04:09:22.923125,1.1666666666666667
8,read,466.2,660.4,173.5,261.6,291.9,418.7,463.1,488.8,506.7,529.4,555.6,613.5,1373.3,9656.1,31181.9,6555.8,6561,2023-05-25 04:09:32.923125,1.3333333333333333
9,read,530.7,857.3,173.5,225.4,241.8,421.8,536.7,595.8,640.1,696.7,789.6,976.4,2044.5,12124.5,32044.2,22636.4,22532,2023-05-25 04:09:42.923125,1.5
10,read,523.4,962.1,160.7,218.8,230.1,326.7,403.7,464.4,516.8,583.3,698.4,1186.2,4148.6,8692.1,31786.0,60482.0,60653,2023-05-25 04:09:52.923125,1.6666666666666667
11,read,447.5,701.1,173.5,217.8,229.0,322.7,401.0,456.2,500.7,553.2,623.5,778.2,3576.4,7878.4,30369.4,59165.3,59076,2023-05-25 04:10:02.923125,1.8333333333333333
