#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      267.7   213.4   148.8   189.4   197.0   245.4   273.9   293.0   307.9   325.5   348.8   380.4   451.5  2728.5  9352.2  30005.0    30000  1683879217298  1683879227480
read      266.8   219.5   148.8   189.0   196.5   244.4   272.5   291.4   306.3   324.3   348.0   381.7   456.5  2173.6  9730.4  30009.1    30005  1683879228997  1683879239126
read      274.6   256.3   148.8   190.5   199.4   250.4   280.1   299.0   314.2   332.8   356.5   389.4   467.0  3554.1 12211.0  29997.2    30010  1683879240637  1683879250749
read      272.4   215.0   160.7   192.7   202.3   251.9   279.7   297.0   311.6   328.9   351.8   383.3   452.9  2404.0  9105.5  29965.9    30015  1683879252258  1683879262367
read      264.7   226.3   148.8   190.4   197.8   242.7   269.6   287.3   300.5   317.6   340.6   372.1   445.2  2561.2 10670.8  29962.4    30020  1683879263878  1683879273985
read      265.4   197.7   148.8   189.8   197.5   244.9   272.7   291.2   305.4   322.1   344.9   375.3   448.4  1933.4  9783.9  29940.6    30025  1683879275497  1683879285603
read      268.6   212.1   148.8   189.7   197.6   247.4   276.0   294.8   309.5   326.8   349.7   380.3   447.9  2446.9 10380.3  29913.8    30030  1683879287114  1683879297223
read      270.8   220.0   148.8   191.1   199.9   249.6   277.3   295.1   309.8   327.1   350.0   382.1   462.2  2291.7 10017.9  30023.4    30035  1683879298733  1683879308846
read      272.5   218.7   148.8   190.1   198.4   249.7   281.2   301.1   316.3   335.4   358.7   390.2   462.7  2467.7  9535.2  29890.3    30040  1683879310357  1683879320467
read      274.4   231.6   160.7   192.0   201.2   249.8   278.6   297.6   313.4   332.2   355.8   388.5   483.0  3094.7  9867.9  30070.0    30045  1683879321977  1683879332098
read      280.2   314.4   160.7   190.5   198.4   246.8   274.9   293.9   309.1   327.4   351.7   386.7   588.4  4623.9 11023.8  29964.6    30050  1683879333611  1683879343724
read      282.4   317.0   148.8   189.9   197.7   248.4   278.9   298.0   314.0   333.3   357.4   390.5   529.6  5384.6 11602.9  30020.6    30055  1683879345235  1683879355341
read      279.1   359.2   148.8   190.0   197.3   242.3   270.2   289.2   304.1   321.9   346.6   381.6   506.5  6527.3 12522.7  30109.0    30060  1683879356847  1683879366956
read      269.8   297.9   148.8   189.7   196.8   239.5   267.0   285.2   299.1   317.3   341.2   374.0   470.7  4505.4 12335.8  30094.5    30065  1683879368464  1683879378580
read      286.7   635.0   148.8   190.2   198.1   247.6   276.5   295.3   310.5   328.8   353.7   389.8   748.2  5418.3 12404.3  30089.0    30070  1683879380093  1683879390197
read      279.1   313.9   148.8   190.0   197.9   249.8   280.3   298.8   313.8   332.0   355.2   387.0   468.9  4595.1 13876.1  30070.6    30075  1683879391707  1683879401820
read      274.3   284.3   148.8   189.3   197.1   246.3   275.0   294.3   309.4   327.2   350.8   383.2   466.7  4265.6 12208.9  30083.3    30080  1683879403326  1683879413431
read      274.8   346.2   148.8   189.0   195.5   238.4   265.4   282.9   296.6   315.1   338.9   371.5   493.9  5840.3 11330.9  30127.3    30085  1683879414937  1683879425044
read      265.2   229.9   148.8   188.8   196.1   241.7   269.0   286.8   300.2   317.6   340.3   371.4   459.9  3119.6 10467.5  30169.6    30090  1683879426555  1683879436656
read      264.2   191.6   148.8   190.2   197.8   243.6   270.7   288.8   302.7   319.7   343.1   373.4   452.1  1801.3  8253.1  30075.0    30095  1683879438168  1683879448305
read      268.7   446.1   148.8   191.1   199.0   244.4   271.9   290.6   305.3   323.1   347.0   380.3   463.4  2428.1 11918.2  30138.5    30100  1683879449820  1683879459936
read      267.1   227.0   148.8   190.1   198.1   244.5   272.1   290.6   304.9   321.9   345.5   376.6   449.1  3033.9 10134.3  30187.7    30105  1683879461444  1683879471550
read      265.6   212.1   148.8   189.4   196.9   244.3   272.4   291.0   305.2   321.6   344.3   374.0   442.1  2496.4  8505.1  30132.5    30110  1683879473058  1683879483171
read      263.2   201.2   148.8   188.2   194.7   239.8   268.4   287.0   301.2   318.9   342.9   374.6   455.3  2499.9  9182.1  30086.0    30115  1683879484682  1683879494793
read      267.5   189.3   148.8   190.6   198.9   246.1   274.1   293.3   308.3   326.1   349.8   381.8   455.2  2051.2  9136.3  30032.1    30120  1683879496304  1683879506413
read      266.8   214.9   148.8   189.3   196.6   244.3   272.7   291.4   305.9   322.9   345.3   375.7   454.4  3112.3  8786.5  30201.8    30125  1683879507922  1683879518030
