Timestamp start: 1684982757549
Timestamp end: 1684984558076

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      451.0   397.9   187.4   270.6   301.2   423.0   467.6   494.4   512.6   536.0   565.5   615.6   804.5  7562.3 14886.6   7377.2     7434
read      357.1   211.9   160.7   222.4   236.0   317.2   372.8   412.6   444.6   484.1   531.7   590.3   719.2  1934.4  9345.0  67025.0    67201
read      342.1   232.4   160.7   220.5   232.2   304.4   348.4   379.8   404.8   437.9   482.0   546.8   734.6  3151.1  7969.0  85958.0    85927
read      400.3   447.5   160.7   221.1   233.3   324.5   403.1   457.3   498.6   546.2   607.6   709.8  1140.2  4732.3 16450.6  63895.3    63953
read      443.9   474.7   173.5   222.5   236.8   376.1   492.2   552.4   589.9   632.2   683.8   764.1  1047.9  5047.7 24114.0  31618.8    31595
read      388.4   515.1   160.7   220.5   233.0   324.5   388.9   430.5   464.7   510.0   573.4   685.2  1153.1  4171.1 13716.6  87861.9    87879
read      459.1   505.6   173.5   266.4   296.7   433.4   481.7   508.3   527.9   547.9   577.5   625.4   854.1  6127.9 30769.0   7285.6     7287
read      409.6   573.8   160.7   219.1   231.1   333.2   412.1   464.4   507.0   557.2   621.5   726.8  1185.5  6102.7 22142.9  62217.6    62295
read      484.4   682.8   173.5   263.3   294.2   433.3   486.4   515.6   536.6   560.8   591.3   643.5  1761.2  8349.1 32095.1   6545.1     6561
read      516.1   804.6   173.5   227.2   244.1   429.4   539.3   593.7   634.1   684.0   753.6   896.9  1352.3 12049.8 32420.7  22591.2    22532
read      535.0   908.7   160.7   218.7   230.6   331.5   413.4   476.7   530.5   600.3   724.5  1301.8  4135.1  7839.8 31364.1  60663.0    60653
read      456.4   627.4   160.7   218.4   230.0   329.4   412.9   471.0   519.4   575.0   650.0   815.5  3699.2  6312.3 25307.8  59041.7    59076
read      503.1   832.9   160.7   218.7   230.5   332.4   414.7   475.7   527.1   590.5   690.4  1059.4  4052.8  7688.0 31004.4  60193.3    60154
read      512.9   797.5   173.5   227.0   243.7   425.1   537.7   593.1   634.1   684.9   758.1   903.6  1410.6 11767.3 31772.3  22979.4    22964
read      536.3  1077.3   173.5   251.1   278.9   451.1   518.0   548.5   571.6   595.5   632.3   692.9  3107.2 16641.8 32272.5   8159.0     8172
read      502.7   718.7   160.7   225.0   240.9   406.8   522.3   581.2   623.7   676.1   748.5   920.3  1671.2  8843.2 31659.5  27604.8    27652
read      483.6   700.8   160.7   221.2   234.9   366.7   482.7   548.4   591.7   642.3   714.6   865.9  3039.0  8023.1 31203.0  37671.6    37594
read      487.4   584.0   173.5   225.5   241.7   411.5   521.0   574.8   612.1   656.8   721.8   857.4  1445.5  7852.2 25788.9  24496.4    24367
read      491.3   766.7   160.7   222.0   236.4   379.7   495.8   558.8   600.7   651.7   728.3   900.9  2034.5  9617.2 31750.5  33681.4    33771
read      438.4   719.2   160.7   216.1   227.7   313.4   374.1   416.8   453.5   504.1   579.5   760.9  3833.3  7111.6 30792.7  84926.4    84944
read      401.1   613.0   160.7   216.3   227.5   309.3   367.8   406.8   439.9   484.6   546.5   666.3  2850.8  6349.8 23905.5  85557.1    85666
read      407.6   431.3   160.7   217.3   229.2   332.2   418.9   476.2   521.2   568.9   623.9   707.0  1123.0  4365.6 15091.4  51979.3    51918
read      506.5   796.0   160.7   220.6   234.4   379.5   499.1   563.3   608.5   664.8   744.9   943.2  3376.3 10636.9 31578.2  34397.9    34406
read      489.7   642.6   160.7   223.9   239.3   403.8   522.5   580.0   621.6   672.6   741.5   886.0  1370.9  8060.6 30931.8  28660.8    28664
read      444.2   449.8   173.5   222.8   237.1   367.1   479.9   543.0   584.3   631.1   691.0   800.9  1244.6  4973.7 13747.3  38297.2    38289
read      433.2   438.1   173.5   224.2   239.6   395.8   483.7   525.3   550.4   579.8   616.1   674.2   954.5  4744.5 20074.6  20616.4    20658
read      548.6  1110.4   173.5   229.2   248.6   442.0   534.6   578.5   609.7   646.0   696.6   806.9  3503.4 18979.1 36562.7  13776.8    13840
read      520.3   915.8   160.7   220.1   234.1   346.5   420.5   476.4   527.3   593.7   713.8  1080.3  3981.1  8971.4 31909.1  93429.0    93419
read      409.6   543.4   160.7   216.9   228.6   318.8   378.1   416.0   448.1   492.3   556.3   685.8  3454.4  4949.5 22461.0  98341.0    98284
read      410.0   543.6   160.7   214.9   226.7   316.4   384.8   431.1   469.1   519.5   583.2   697.4  2841.6  5088.5 24128.6  71318.2    71313
read      446.8   671.7   160.7   216.5   228.8   341.1   440.1   506.0   548.7   596.3   655.8   754.5  2169.4  8078.6 30967.7  42047.9    42089
read      585.7  1030.8   160.7   217.8   230.3   344.0   447.8   524.2   580.6   654.5   806.9  1625.0  4127.0  9753.3 31862.2  46511.9    46458
read      550.0   981.8   160.7   222.7   238.0   396.1   518.7   585.7   638.1   711.5   833.6  1103.7  3692.1 14266.6 32304.3  30636.0    30755
read      546.5   957.7   160.7   215.8   228.3   341.9   450.4   529.0   586.1   664.4   829.2  1439.9  3931.9 12101.6 31797.4  42775.1    42889
read      394.4   528.6   160.7   214.4   226.4   312.0   367.6   402.7   433.2   473.9   533.8   641.6  2730.3  4939.3 17691.9  93495.0    93552
read      396.7   474.6   160.7   213.6   225.6   316.4   387.4   435.4   475.3   525.4   584.0   678.5  1418.3  4799.6 16662.5  65662.1    65694
read      426.5   469.0   160.7   218.5   230.9   362.7   472.2   530.5   564.3   598.8   641.4   711.7   921.1  6286.7 19089.2  29510.0    29574
read      392.0   375.4   160.7   213.7   226.1   324.8   410.1   468.4   514.5   562.7   617.3   693.8   933.7  4185.9 15169.7  51353.6    51355
read      397.9   501.5   160.7   213.8   225.9   315.8   384.4   431.8   470.8   521.9   583.5   681.8  1525.0  4569.2 19912.4  67515.7    67361
