#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      265.7   214.2   148.8   189.9   197.5   245.5   273.5   291.8   305.8   321.9   344.7   374.3   440.4  1627.8 10460.8  29973.2    30000  1683880779564  1683880789692
read      267.8   225.7   148.8   189.7   197.4   245.5   272.8   291.0   305.0   321.3   344.3   374.4   460.3  3135.1  8739.9  30013.8    30005  1683880791203  1683880801334
read      266.7   222.3   148.8   188.5   196.4   245.6   272.6   290.5   304.3   321.0   344.6   375.7   452.5  2497.9 10419.3  29986.2    30010  1683880802843  1683880812946
read      263.5   216.1   148.8   189.9   197.3   241.8   268.4   285.8   298.9   316.6   339.9   370.4   435.5  2551.0 10657.2  30057.6    30015  1683880814455  1683880824563
read      267.5   213.3   148.8   189.7   197.4   245.4   273.3   292.0   306.4   323.5   347.3   379.0   447.6  2561.8  8788.9  30046.0    30020  1683880826068  1683880836177
read      262.5   209.6   148.8   188.8   195.6   241.3   269.2   287.5   301.5   319.4   343.0   372.6   436.4  1939.3  9298.2  30111.0    30025  1683880837686  1683880847802
read      265.2   207.3   148.8   189.6   196.7   242.3   270.2   288.5   302.5   319.7   342.5   372.1   449.5  2866.8  9787.6  30063.7    30030  1683880849314  1683880859426
read      262.9   203.2   148.8   189.1   196.3   240.9   267.9   285.8   299.5   317.6   340.9   371.2   446.7  2782.3  8715.1  29963.6    30035  1683880860936  1683880871041
read      267.1   204.6   148.8   189.1   196.7   245.3   274.3   293.7   308.9   326.8   349.8   379.8   450.3  2228.0  8734.3  30031.1    30040  1683880872548  1683880882664
read      270.2   213.5   160.7   191.2   199.5   247.4   275.4   294.2   309.0   326.3   348.4   379.5   466.1  2723.4  8678.1  30067.0    30045  1683880884171  1683880894279
read      280.0   337.9   148.8   190.3   198.0   243.6   271.8   291.0   306.1   324.0   347.6   382.3   595.5  5502.0 12613.3  30110.0    30050  1683880895794  1683880905912
read      278.7   273.5   148.8   190.6   198.7   249.2   278.7   297.0   312.1   329.8   352.4   384.8   514.9  4263.9 11158.4  30039.1    30055  1683880907421  1683880917524
read      275.0   346.3   148.8   188.8   195.5   238.7   266.7   285.4   299.9   318.9   343.9   377.1   501.1  5814.1 12454.9  30007.8    30060  1683880919033  1683880929143
read      272.5   286.3   160.7   191.0   198.5   242.0   269.1   287.2   301.0   318.5   341.5   371.7   464.8  4767.3 10455.5  30037.1    30065  1683880930651  1683880940759
read      275.4   334.3   148.8   189.5   196.6   242.1   269.3   286.8   299.8   317.2   340.0   371.2   525.6  5394.4 14313.3  30083.9    30070  1683880942269  1683880952387
read      271.0   293.7   148.8   189.1   195.7   238.8   267.2   285.8   300.0   318.3   342.3   374.0   470.3  4970.6 10109.4  30134.6    30075  1683880953897  1683880964009
read      268.0   278.4   148.8   190.3   197.7   241.5   268.4   285.7   298.6   316.0   338.5   368.9   436.5  4370.7 10254.6  29986.7    30080  1683880965519  1683880975632
read      269.8   324.6   148.8   186.8   193.1   235.3   262.7   280.3   294.4   312.6   335.7   367.3   467.6  5446.4 11471.8  30151.6    30085  1683880977139  1683880987246
read      270.9   246.8   148.8   191.2   199.2   246.7   274.3   292.4   306.4   322.5   344.7   373.8   456.0  4012.1 10358.1  30103.0    30090  1683880988754  1683880998862
read      264.0   220.4   148.8   189.3   196.5   242.0   269.2   286.8   299.9   317.1   339.6   369.8   435.4  3059.0  8720.0  30023.3    30095  1683881000375  1683881010482
read      263.6   206.9   148.8   189.5   196.6   241.5   268.4   286.0   299.2   317.3   340.9   371.0   440.6  2804.4  8785.0  30114.2    30100  1683881011993  1683881022100
read      264.9   229.8   148.8   188.7   196.0   242.5   270.0   287.9   301.5   318.5   341.4   371.5   436.2  2892.6  9310.5  30122.4    30105  1683881023608  1683881033711
read      267.2   226.3   148.8   190.9   198.8   244.4   271.4   289.4   303.3   320.1   343.0   372.4   445.4  3260.0  9466.2  30155.3    30110  1683881035218  1683881045326
read      266.5   212.9   148.8   190.8   198.9   245.1   272.1   290.0   303.6   319.9   342.5   371.6   441.3  2509.3  9396.5  30103.0    30115  1683881046836  1683881056949
read      265.2   220.8   148.8   190.1   197.9   244.3   271.2   288.7   301.9   319.0   342.2   372.1   436.7  2362.9  9914.8  30226.8    30120  1683881058461  1683881068578
read      264.7   229.5   148.8   189.8   196.8   241.4   269.1   287.4   301.6   319.5   343.6   374.0   442.7  2458.9 10882.4  30094.1    30125  1683881070089  1683881080197
read      264.8   232.8   160.7   190.4   198.2   243.7   270.3   287.7   300.6   317.8   341.4   371.7   434.5  2162.6 10975.4  30193.2    30130  1683881081704  1683881091809
