#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      374.0   488.4   173.5   243.4   265.6   349.1   381.4   398.8   412.3   428.6   450.1   483.4   592.0  4368.4 35831.9   4995.4     5000  1682872249472  1682872254816
read      395.9   296.9   160.7   225.6   245.4   381.4   435.6   462.3   480.1   499.5   524.3   561.0   660.9  5156.4 11965.5   9960.0    10000  1682872256320  1682872261652
read      414.1   264.5   160.7   219.5   238.1   391.7   466.8   503.6   529.6   558.2   592.9   644.8   755.4  3872.2  9810.8  14987.0    15000  1682872263155  1682872268444
read      431.4   263.4   160.7   216.5   235.1   401.2   486.6   532.7   565.7   603.3   648.5   717.1   873.6  2543.3 10798.0  20013.2    20000  1682872269947  1682872275229
read      444.3   286.1   160.7   211.3   226.8   398.4   488.8   541.5   583.7   637.4   711.7   838.7  1078.3  3380.7  9425.6  24966.0    25000  1682872276735  1682872282024
read      434.6   257.9   160.7   211.1   226.6   390.6   476.8   534.2   578.6   630.8   691.7   784.3  1063.9  2824.6  8091.7  30046.8    30000  1682872283527  1682872288808
read      458.6   274.9   160.7   212.3   227.8   409.8   513.6   576.1   624.0   679.4   747.1   864.1  1155.6  1789.0  8757.3  34809.5    35000  1682872290312  1682872295596
read      461.6   308.2   160.7   211.7   226.1   382.0   504.6   577.6   633.5   699.7   790.5   954.3  1403.8  1797.4 10816.9  39750.6    40000  1682872297100  1682872302381
read      452.8   344.7   160.7   208.0   220.9   341.7   467.6   540.9   600.4   684.1   816.0  1077.1  1523.6  2613.9  9929.9  44805.8    45000  1682872303885  1682872309175
read      437.3   301.7   160.7   207.5   221.3   356.3   471.7   544.3   601.7   671.3   754.3   884.0  1257.6  2414.5  8802.2  49865.0    50000  1682872310678  1682872315959
read      427.6   266.7   160.7   208.4   222.1   346.5   453.5   523.6   582.0   658.4   746.3   877.1  1260.5  1803.6  7663.3  55051.0    55000  1682872317462  1682872322742
read      437.2   296.4   148.8   210.2   224.4   347.8   452.4   525.5   587.4   664.8   765.9   940.8  1380.6  2091.8  9028.8  59930.7    60000  1682872324245  1682872329516
read      436.5   302.6   160.7   208.7   223.2   341.8   442.1   511.4   570.7   652.2   771.9   987.7  1490.1  2032.2  8719.7  64866.5    65000  1682872331020  1682872336296
read      429.4   292.4   160.7   208.5   222.6   334.2   426.6   496.3   556.3   642.5   764.8   981.7  1481.0  2129.4  7665.5  69997.0    70000  1682872337799  1682872343093
read      442.3   338.4   160.7   211.2   226.0   339.0   427.1   493.9   555.6   650.9   799.1  1057.7  1610.2  2169.0 10076.0  74932.2    75000  1682872344596  1682872349868
read      463.4   512.6   160.7   217.1   232.6   346.4   431.9   503.3   574.3   680.3   848.6  1126.3  1715.4  2907.8 19350.7  80033.6    80000  1682872351371  1682872356660
read      435.2   345.9   160.7   212.1   226.8   334.4   411.4   469.8   529.9   620.7   768.9  1050.9  1636.4  2674.8 11920.4  84786.4    85000  1682872358163  1682872363440
read      666.9   708.4   160.7   251.4   276.1   367.3   466.3   829.7  1210.3  1438.5  1573.4  1742.2  2630.1  6594.7 23997.3  89143.2    90000  1682872364944  1682872370252
read      745.6   982.1   160.7   285.7   305.3   381.5   488.0  1199.7  1425.2  1531.3  1641.4  1776.2  2698.5 12615.3 34761.1  88561.2    95000  1682872371757  1682872377038
read      750.9  1196.4   160.7   285.2   305.4   379.0   457.7  1032.5  1405.1  1516.2  1629.6  1772.4  2715.5 16440.8 37525.5  88678.0   100000  1682872378548  1682872383832
read      723.0   902.7   160.7   277.0   295.2   370.8   470.8  1096.2  1404.9  1506.6  1619.4  1754.4  2694.7 12185.1 30632.9  91101.8   105000  1682872385336  1682872390621
read      709.9   960.0   160.7   274.0   290.3   361.4   436.6  1026.2  1392.4  1491.5  1604.2  1743.5  2654.3 12491.4 31802.7  93135.4   110000  1682872392125  1682872397398
read      749.1   998.3   160.7   285.8   305.9   383.4   485.4  1202.3  1422.5  1529.4  1638.7  1787.9  2721.5 12569.0 31948.7  88364.6   115000  1682872398901  1682872404178
read      744.0   977.0   160.7   282.1   302.3   380.9   481.0  1206.7  1425.5  1525.6  1633.6  1778.8  2694.0 12498.2 31529.0  89007.9   120000  1682872405681  1682872410958
read      761.5  1016.6   160.7   287.3   308.2   390.1   501.5  1264.2  1446.9  1552.0  1657.8  1795.3  2702.9 12704.6 32139.4  87013.2   125000  1682872412461  1682872417744
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.13%,2.01%,100.00%
