#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      372.4   361.2   173.5   248.9   270.6   351.5   377.8   393.0   402.6   417.8   434.5   467.2   565.7  5637.8 15694.4   4955.6     5000  1682877215372  1682877220732
read      389.1   295.2   173.5   233.3   255.1   380.9   420.9   440.3   455.0   469.6   492.5   525.3   613.1  4151.4 13453.7   9917.6    10000  1682877222235  1682877227578
read      390.8   280.2   160.7   223.1   242.6   386.0   441.5   465.1   481.6   499.5   522.2   551.7   635.8  2045.4 12500.4  14947.4    15000  1682877229082  1682877234384
read      397.5   250.1   160.7   219.6   236.9   383.0   451.8   482.5   501.7   524.2   549.1   589.7   685.8  3832.6 10248.9  20065.2    20000  1682877235888  1682877241177
read      391.8   233.4   160.7   217.9   233.5   371.7   446.3   481.8   504.0   528.5   555.7   598.2   692.8  2689.4  9635.6  24877.6    25000  1682877242680  1682877247974
read      388.5   226.8   160.7   215.5   230.7   364.2   439.7   479.4   505.5   533.0   565.0   612.3   714.5  1343.1 10143.9  30011.6    30000  1682877249478  1682877254786
read      384.7   197.5   160.7   212.4   227.6   356.3   431.7   474.2   502.7   533.5   568.9   618.2   717.4  2654.7  7774.4  34840.2    35000  1682877256289  1682877261567
read      382.4   502.9   160.7   211.8   227.3   354.8   426.4   466.4   495.9   527.9   564.5   616.9   728.5  1623.3  8005.0  39783.6    40000  1682877263070  1682877268347
read      372.0   188.5   160.7   211.5   225.6   342.7   413.0   454.7   484.8   518.3   555.5   609.0   704.3  1442.4  6692.1  44850.4    45000  1682877269850  1682877275141
read      364.9   252.9   160.7   208.6   222.0   324.1   393.7   439.0   473.3   511.9   555.6   614.2   725.0  2552.1 12018.7  50131.8    50000  1682877276644  1682877281921
read      367.6   185.0   160.7   211.2   225.2   337.7   402.7   442.8   472.8   509.5   552.4   611.3   717.4  1140.4  7183.4  55057.0    55000  1682877283424  1682877288703
read      362.6   186.7   160.7   210.5   224.2   328.1   393.2   434.6   467.1   506.3   550.5   612.0   725.4  1277.1  7589.3  60064.4    60000  1682877290207  1682877295480
read      357.5   185.0   160.7   210.3   223.5   318.9   383.1   424.8   457.6   497.2   544.3   608.6   738.9  1495.7  6813.0  65024.0    65000  1682877296984  1682877302264
read      347.7   172.0   160.7   207.9   220.9   312.2   373.6   413.3   444.2   482.0   528.3   589.1   700.5  1083.9  6961.2  70195.2    70000  1682877303768  1682877309046
read      350.0   167.7   160.7   209.4   222.3   311.1   371.0   411.0   442.5   481.5   530.7   597.8   773.8  1519.0  6148.8  75221.4    75000  1682877310549  1682877315829
read      332.3   178.3   148.8   205.6   217.2   298.1   352.0   387.0   414.4   450.3   497.0   560.7   675.9  1180.4  7901.1  79948.8    80000  1682877317332  1682877322613
read      332.2   150.7   160.7   206.5   218.9   299.9   354.1   388.1   414.4   448.6   493.8   557.1   668.4  1181.0  5281.7  85023.0    85000  1682877324116  1682877329401
read      331.1   160.5   160.7   206.3   218.9   301.0   353.9   386.5   411.2   443.0   485.6   546.5   656.7  1153.5  5621.6  89774.2    90000  1682877330904  1682877336176
read      326.6   192.1   148.8   205.5   217.4   296.2   345.8   375.7   399.3   429.2   470.0   534.4   643.7  1537.9  8084.7  94903.8    95000  1682877337679  1682877342954
read      326.0   149.2   148.8   206.3   218.8   300.2   350.1   379.7   401.5   429.8   467.3   526.7   634.8  1008.2  4357.2 100218.8   100000  1682877344457  1682877349732
read      323.0   155.2   160.7   206.3   218.7   298.3   345.5   373.3   394.8   421.6   458.4   514.7   622.8  1023.4  5830.6 104855.4   105000  1682877351235  1682877356514
read      327.2   158.2   160.7   207.7   220.7   305.0   352.4   379.7   399.8   425.6   459.6   511.6   623.8  1047.7  6556.2 109908.2   110000  1682877358017  1682877363302
read      328.1   150.8   148.8   208.9   222.1   307.9   353.6   379.6   398.8   423.1   455.4   505.5   617.8  1319.3  5923.2 114803.0   115000  1682877364805  1682877370093
read      352.2   158.1   160.7   214.8   229.1   329.4   380.5   410.0   432.7   461.4   500.2   564.0   709.9  1011.4  5277.8 120024.8   120000  1682877371596  1682877376871
read      324.4   181.0   160.7   207.6   220.4   300.5   344.3   370.9   392.2   418.8   455.8   515.7   653.0   989.9  4822.8 124836.5   125000  1682877378374  1682877383651
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.10%,1.01%,100.00%
